,importance,feature
1836,0.0437017780236623,v36v12
2014,0.04368716785976993,v50_v21_v51
1906,0.04355625861381219,v61v85
1890,0.043342973332213944,v85v101
2085,0.04317823890068448,v50_v123_v85
1835,0.043111621856773134,v88v12
1630,0.04308963548933388,v111v10
2175,0.04302743134558692,v50_v101_v51
548,0.042795630894950754,v22_v113_v30_v71
1677,0.042735978809381014,v55v34
1943,0.04268167803629872,v65v61
123,0.04258366739350421,v52v129
1939,0.04223347014298978,v121v61
1656,0.04210176251791805,v36v14
506,0.04208609903927336,v22_v110_v72_v56
1973,0.04202812935069854,v65v130
1735,0.04201763936168693,v123v4
1663,0.04196975296361205,v123v34
1697,0.04194204769161477,v61v114
2286,0.041795061575912944,v50_v44_v55
495,0.04136990174234034,v22_v113_v56_v75
1902,0.041358783896655336,v36v101
2316,0.04116884013769699,v50_v4_v88
173,0.0410050232168545,v30v38
1730,0.04096397211352856,v88v21
234,0.04046319105125747,v91v24
2000,0.04039556213066814,v88v121
2041,0.0403008104539895,v50_v85_v36
177,0.0402243042366,v91v38
905,0.040046742914076,v22_v129_v125_v52
1067,0.03993049901653151,v22_v129_v79_v112
221,0.03991370762859857,v71v30
32,0.039786832915619026,v31
1971,0.03976691400583007,v36v130
249,0.039671145684484606,v52v91
2017,0.03964238165755884,v50_v34_v36
387,0.03958990598729313,v22_v66_v30
1802,0.039508682439967704,v93v48
1699,0.03950116599053773,v44v114
210,0.03945777565437205,v91v56
2371,0.03936518590268872,v50_v14_v130
2035,0.03933110143472232,v50_v14_v36
1709,0.03925793767453159,v65v114
2273,0.03912933362471554,v50_v83_v65
2034,0.039104265890459435,v50_v21_v93
1736,0.03909765242484234,v48v4
1860,0.03905739967670035,v51v93
1970,0.039009426805167564,v88v130
899,0.038972957548476156,v22_v72_v56_v71
257,0.03879442305220619,v22v71
64,0.038756374234304655,v112v110
2331,0.03875511078812185,v50_v61_v17
1764,0.03868647735889618,v85v119
2051,0.038661534848323055,v50_v88_v36
2147,0.038628629186881605,v50_v4_v123
1780,0.038609726918920464,v12v123
2396,0.038581791574226476,v50_v114_v88
2265,0.03837613259787456,v50_v111_v65
416,0.03817447807576063,v22_v30_v24
108,0.03804343467964456,v113v129
604,0.03747092656123219,v22_v113_v66_v79
203,0.037416160249527444,v125v79
1937,0.0368925022431734,v83v61
102,0.036685207753142206,v91v31
1567,0.03637378611795655,v22_v38_v112_v125
2238,0.036371828413703906,v50_v48_v93
2169,0.03633971781352937,v50_v85_v88
1651,0.03623973126140286,v55v14
71,0.03623678191317884,v31v47
2251,0.036196402517776706,v50_v4_v111
135,0.03602964315454872,v91v113
1120,0.03601780818727979,v22_v110_v47_v38
1919,0.035582199082894346,v61v51
2336,0.035548903641226724,v50_v4_v93
2237,0.03546639389032594,v50_v33_v83
1989,0.035455345706372515,v76v83
2282,0.03544570465907124,v50_v61_v33
2139,0.03533921176630156,v50_v119_v106
2,0.03530232474267098,v14
1942,0.03523298282677673,v111v61
